2026-07-30 17:45:47 | INFO | Using device: mps
2026-07-30 17:48:38 | ERROR | Failed row 64 (Malabar_Dataset/Anthracnose(102)/Anthracnose (65).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:38 | ERROR | Failed row 65 (Malabar_Dataset/Anthracnose(102)/Anthracnose (66).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:38 | ERROR | Failed row 66 (Malabar_Dataset/Anthracnose(102)/Anthracnose (67).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:39 | ERROR | Failed row 67 (Malabar_Dataset/Anthracnose(102)/Anthracnose (68).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:39 | ERROR | Failed row 68 (Malabar_Dataset/Anthracnose(102)/Anthracnose (69).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:39 | ERROR | Failed row 69 (Malabar_Dataset/Anthracnose(102)/Anthracnose (7).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:39 | ERROR | Failed row 70 (Malabar_Dataset/Anthracnose(102)/Anthracnose (70).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:40 | ERROR | Failed row 71 (Malabar_Dataset/Anthracnose(102)/Anthracnose (71).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:40 | ERROR | Failed row 72 (Malabar_Dataset/Anthracnose(102)/Anthracnose (72).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:40 | ERROR | Failed row 73 (Malabar_Dataset/Anthracnose(102)/Anthracnose (73).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:40 | ERROR | Failed row 74 (Malabar_Dataset/Anthracnose(102)/Anthracnose (74).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:40 | ERROR | Failed row 75 (Malabar_Dataset/Anthracnose(102)/Anthracnose (75).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:41 | ERROR | Failed row 76 (Malabar_Dataset/Anthracnose(102)/Anthracnose (76).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:41 | ERROR | Failed row 77 (Malabar_Dataset/Anthracnose(102)/Anthracnose (77).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:41 | ERROR | Failed row 78 (Malabar_Dataset/Anthracnose(102)/Anthracnose (78).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:41 | ERROR | Failed row 79 (Malabar_Dataset/Anthracnose(102)/Anthracnose (79).jpg): Classical feature dim mismatch: got 91, expected 1067
