timestamp_utc,class,filename,status,elapsed_sec,augmented_files_written,error
2026-07-30T12:05:38.285074+00:00,Anthracnose(102),Anthracnose (58).jpg,processed,0.9952,12,
2026-07-30T12:05:39.175587+00:00,Anthracnose(102),Anthracnose (59).jpg,processed,0.8805,12,
2026-07-30T12:05:40.038314+00:00,Anthracnose(102),Anthracnose (6).jpg,processed,0.8502,12,
2026-07-30T12:05:40.856412+00:00,Anthracnose(102),Anthracnose (60).jpg,processed,0.8041,12,
2026-07-30T12:05:41.678128+00:00,Anthracnose(102),Anthracnose (61).jpg,processed,0.8078,12,
2026-07-30T12:05:42.529982+00:00,Anthracnose(102),Anthracnose (62).jpg,processed,0.8415,12,
2026-07-30T12:05:43.322661+00:00,Anthracnose(102),Anthracnose (63).jpg,processed,0.7844,12,
2026-07-30T12:05:44.109741+00:00,Anthracnose(102),Anthracnose (64).jpg,processed,0.7764,12,
2026-07-30T12:05:45.232171+00:00,Anthracnose(102),Anthracnose (65).jpg,processed,1.1093,12,
2026-07-30T12:05:46.512711+00:00,Anthracnose(102),Anthracnose (66).jpg,processed,1.2671,12,
2026-07-30T12:05:47.668441+00:00,Anthracnose(102),Anthracnose (67).jpg,processed,1.1397,12,
2026-07-30T12:05:49.386900+00:00,Anthracnose(102),Anthracnose (68).jpg,processed,1.6960,12,
2026-07-30T12:05:50.763977+00:00,Anthracnose(102),Anthracnose (69).jpg,processed,1.3557,12,
2026-07-30T12:05:52.076199+00:00,Anthracnose(102),Anthracnose (7).jpg,processed,1.2993,12,
2026-07-30T12:05:52.870951+00:00,Anthracnose(102),Anthracnose (70).jpg,processed,0.7835,12,
2026-07-30T12:05:53.644360+00:00,Anthracnose(102),Anthracnose (71).jpg,processed,0.7569,12,
2026-07-30T12:05:54.440469+00:00,Anthracnose(102),Anthracnose (72).jpg,processed,0.7854,12,
2026-07-30T12:05:55.252228+00:00,Anthracnose(102),Anthracnose (73).jpg,processed,0.8017,12,
2026-07-30T12:05:56.041358+00:00,Anthracnose(102),Anthracnose (74).jpg,processed,0.7778,12,
2026-07-30T12:05:56.666900+00:00,Anthracnose(102),Anthracnose (75).jpg,processed,0.6155,12,
2026-07-30T12:05:57.267393+00:00,Anthracnose(102),Anthracnose (76).jpg,processed,0.5886,12,
2026-07-30T12:05:57.857392+00:00,Anthracnose(102),Anthracnose (77).jpg,processed,0.5792,12,
2026-07-30T12:05:58.442102+00:00,Anthracnose(102),Anthracnose (78).jpg,processed,0.5751,12,
2026-07-30T12:05:58.965732+00:00,Anthracnose(102),Anthracnose (79).jpg,processed,0.5133,12,
2026-07-30T12:05:59.738085+00:00,Anthracnose(102),Anthracnose (8).jpg,processed,0.7624,12,
2026-07-30T12:06:00.253722+00:00,Anthracnose(102),Anthracnose (80).jpg,processed,0.5084,12,
2026-07-30T12:06:00.730587+00:00,Anthracnose(102),Anthracnose (81).jpg,processed,0.4692,12,
2026-07-30T12:06:01.240607+00:00,Anthracnose(102),Anthracnose (82).jpg,processed,0.5021,12,
2026-07-30T12:06:01.721281+00:00,Anthracnose(102),Anthracnose (83).jpg,processed,0.4735,12,
2026-07-30T12:06:02.181728+00:00,Anthracnose(102),Anthracnose (84).jpg,processed,0.4534,12,
2026-07-30T12:06:02.854629+00:00,Anthracnose(102),Anthracnose (85).jpg,processed,0.6629,12,
2026-07-30T12:06:03.405052+00:00,Anthracnose(102),Anthracnose (86).jpg,processed,0.5411,12,
2026-07-30T12:06:04.168525+00:00,Anthracnose(102),Anthracnose (87).jpg,processed,0.7553,12,
2026-07-30T12:06:04.752524+00:00,Anthracnose(102),Anthracnose (88).jpg,processed,0.5713,12,
2026-07-30T12:06:05.445501+00:00,Anthracnose(102),Anthracnose (89).jpg,processed,0.6807,12,
2026-07-30T12:06:06.025363+00:00,Anthracnose(102),Anthracnose (9).jpg,processed,0.5690,12,
2026-07-30T12:06:06.637855+00:00,Anthracnose(102),Anthracnose (90).jpg,processed,0.6032,12,
2026-07-30T12:06:07.176374+00:00,Anthracnose(102),Anthracnose (91).jpg,processed,0.5285,12,
2026-07-30T12:06:07.729446+00:00,Anthracnose(102),Anthracnose (92).jpg,processed,0.5451,12,
2026-07-30T12:06:08.255777+00:00,Anthracnose(102),Anthracnose (93).jpg,processed,0.5167,12,
2026-07-30T12:06:08.810081+00:00,Anthracnose(102),Anthracnose (94).jpg,processed,0.5467,12,
2026-07-30T12:06:09.352090+00:00,Anthracnose(102),Anthracnose (95).jpg,processed,0.5327,12,
2026-07-30T12:06:09.926577+00:00,Anthracnose(102),Anthracnose (96).jpg,processed,0.5643,12,
2026-07-30T12:06:10.516740+00:00,Anthracnose(102),Anthracnose (97).jpg,processed,0.5811,12,
2026-07-30T12:06:11.095177+00:00,Anthracnose(102),Anthracnose (98).jpg,processed,0.5673,12,
2026-07-30T12:06:11.694604+00:00,Anthracnose(102),Anthracnose (99).jpg,processed,0.5890,12,
2026-07-30T12:06:11.993683+00:00,Bacterial-Spot(752),Bacterial-Spot (1).jpg,processed,0.2949,12,
2026-07-30T12:06:12.255135+00:00,Bacterial-Spot(752),Bacterial-Spot (10).jpg,processed,0.2576,12,
2026-07-30T12:06:12.514155+00:00,Bacterial-Spot(752),Bacterial-Spot (100).jpg,processed,0.2544,12,
2026-07-30T12:06:12.749797+00:00,Bacterial-Spot(752),Bacterial-Spot (101).jpg,processed,0.2312,12,
2026-07-30T12:06:12.984596+00:00,Bacterial-Spot(752),Bacterial-Spot (102).jpg,processed,0.2307,12,
2026-07-30T12:06:13.217282+00:00,Bacterial-Spot(752),Bacterial-Spot (103).jpg,processed,0.2284,12,
2026-07-30T12:06:13.442833+00:00,Bacterial-Spot(752),Bacterial-Spot (104).jpg,processed,0.2208,12,
2026-07-30T12:06:13.669219+00:00,Bacterial-Spot(752),Bacterial-Spot (105).jpg,processed,0.2221,12,
2026-07-30T12:06:13.896871+00:00,Bacterial-Spot(752),Bacterial-Spot (106).jpg,processed,0.2230,12,
